schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time,avg_distance_meters,min_distance_meters,max_distance_meters
2004792,2663000,Balboa St,18th Ave  -  19th Ave,Tuesday,13,15,95,13.185087719298247,13.083333333333334,13.4,61.468107885597206,8.661396298555136,182.8287853921674
2004793,2664000,Balboa St,19th Ave  -  20th Ave,Friday,9,11,132,9.51439393939394,9.316666666666666,9.716666666666667,79.41854119799824,8.669827645744697,176.34907490444036
2004794,2664000,Balboa St,19th Ave  -  20th Ave,Tuesday,13,15,99,13.189393939393941,12.283333333333333,13.4,79.24757491612843,9.099748177068577,171.24298495047157
2004795,2665000,Balboa St,20th Ave  -  21st Ave,Friday,9,11,105,9.526031746031746,9.283333333333333,9.716666666666667,93.66935661653716,8.669827645744697,171.09057336486393
2004796,2665000,Balboa St,20th Ave  -  21st Ave,Tuesday,13,15,82,13.204471544715448,12.283333333333333,13.416666666666666,74.28084194925792,8.996027937928117,172.78156368130195
2004797,2666000,Balboa St,21st Ave  -  22nd Ave,Friday,9,11,72,9.520601851851852,9.283333333333333,9.7,88.40636774969748,11.817515414290146,167.58829568940698
2004798,2666000,Balboa St,21st Ave  -  22nd Ave,Tuesday,13,15,62,13.204301075268816,12.283333333333333,13.416666666666666,66.09097309502648,8.996027937928117,165.9796130318471
2004799,2667000,Balboa St,22nd Ave  -  23rd Ave,Friday,9,11,49,9.492857142857142,9.283333333333333,9.683333333333334,68.15827549760355,9.264523115851194,161.03745720354664
2004800,2667000,Balboa St,22nd Ave  -  23rd Ave,Tuesday,13,15,56,13.245833333333334,13.15,13.45,54.61567023900782,8.830205041805197,162.6401684631116
2004801,2668000,Balboa St,23rd Ave  -  24th Ave,Friday,9,11,49,9.470068027210884,9.266666666666667,9.666666666666666,54.80111289095986,9.264523115851194,154.35015685977874
2004802,2668000,Balboa St,23rd Ave  -  24th Ave,Tuesday,13,15,50,13.265333333333333,13.15,13.45,46.49022984638434,8.830205041805197,152.7350114161661
2004803,2669000,Balboa St,24th Ave  -  25th Ave,Friday,9,11,46,9.456884057971013,9.266666666666667,9.65,59.124999224386,15.96122472705639,149.47847592816117
2004804,2669000,Balboa St,24th Ave  -  25th Ave,Tuesday,13,15,46,13.282971014492755,13.183333333333334,13.45,47.73790756900412,9.069779072633915,88.37069137325717
2004805,2670000,Balboa St,25th Ave  -  26th Ave,Friday,9,11,31,9.449462365591396,9.266666666666667,9.65,56.5225348095066,16.253599475667986,142.7016263035474
2004806,2670000,Balboa St,25th Ave  -  26th Ave,Tuesday,13,15,54,13.263271604938277,12.3,13.45,42.57420833543673,9.023047519237773,88.31218683832546
