schedule_id,cnn,corridor,limits,cnn_right_left,block_side,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2002831,670000,16th Ave,Lake St  -  California St,R,West,Monday,9,11,59,9.609887005649714,9.4,9.85
2002832,670000,16th Ave,Lake St  -  California St,R,West,Wednesday,9,11,66,9.687373737373738,9.45,9.916666666666666
2002833,681000,16th Ave,Lawton St  -  Lawton St,L,East,Friday,9,11,6,9.622222222222222,9.416666666666666,9.733333333333333
2002834,682000,16th Ave,Lawton St  -  Lomita Ave,L,East,Friday,9,11,16,9.566666666666666,9.3,9.733333333333333
2002835,682000,16th Ave,Lawton St  -  Lomita Ave,R,West,Tuesday,9,11,12,9.299999999999999,9.083333333333334,9.866666666666667
2002836,677000,16th Ave,Lincoln Way  -  Irving St,L,East,Wednesday,8,10,38,8.45877192982456,8.366666666666667,8.533333333333333
2002837,677000,16th Ave,Lincoln Way  -  Irving St,R,West,Monday,8,10,16,8.383333333333333,8.333333333333334,8.433333333333334
2002839,683000,16th Ave,Lomita Ave  -  Moraga St,R,West,Tuesday,9,11,11,9.281818181818181,9.083333333333334,9.866666666666667
2002840,684000,16th Ave,Moraga St  -  Noriega St,L,East,Tuesday,12,14,8,12.381250000000001,12.333333333333334,12.433333333333334
2002841,684000,16th Ave,Moraga St  -  Noriega St,L,East,Friday,12,14,19,12.592105263157896,12.4,12.816666666666666
2002842,684000,16th Ave,Moraga St  -  Noriega St,R,West,Tuesday,12,14,8,12.381250000000001,12.333333333333334,12.433333333333334
2002843,685000,16th Ave,Noriega St  -  Noriega St,L,East,Friday,12,14,22,12.60378787878788,12.4,12.816666666666666
2002844,685000,16th Ave,Noriega St  -  Noriega St,R,West,Tuesday,12,14,16,12.359375,12.233333333333333,12.433333333333334
2002845,686000,16th Ave,Noriega St  -  Ortega St,L,East,Friday,12,14,31,12.59247311827957,12.366666666666667,12.816666666666666
2002846,686000,16th Ave,Noriega St  -  Ortega St,R,West,Tuesday,12,14,23,12.369565217391305,12.233333333333333,12.566666666666666
2002847,687000,16th Ave,Ortega St  -  Pacheco St,L,East,Friday,12,14,34,12.522058823529411,12.35,12.783333333333333
2002848,687000,16th Ave,Ortega St  -  Pacheco St,R,West,Tuesday,12,14,24,12.375,12.183333333333334,12.566666666666666
2002849,688000,16th Ave,Pacheco St  -  Quintara St,L,East,Friday,12,14,38,12.521491228070175,12.316666666666666,12.766666666666667
2002850,688000,16th Ave,Pacheco St  -  Quintara St,R,West,Tuesday,12,14,26,12.370512820512818,12.216666666666667,12.45
2002851,689000,16th Ave,Quintara St  -  Rivera St,L,East,Friday,12,14,27,12.53827160493827,12.283333333333333,12.75
2002852,689000,16th Ave,Quintara St  -  Rivera St,R,West,Tuesday,12,14,23,12.383333333333331,12.233333333333333,12.5
2002853,690000,16th Ave,Rivera St  -  Santiago St,L,East,Friday,12,14,14,12.542857142857144,12.266666666666667,12.85
2002854,690000,16th Ave,Rivera St  -  Santiago St,R,West,Tuesday,12,14,24,12.39722222222222,12.233333333333333,12.6
2002855,691000,16th Ave,Santiago St  -  Cecelia Ave,L,East,Friday,12,14,20,12.43,12.25,12.7
2002856,691000,16th Ave,Santiago St  -  Cecelia Ave,R,West,Tuesday,12,14,29,12.410344827586206,12.233333333333333,12.65
2002857,669000,16th Ave,Start: 01-99 Block  -  Lake St,L,East,Wednesday,9,11,46,9.692753623188405,9.483333333333333,9.916666666666666
2002858,669000,16th Ave,Start: 01-99 Block  -  Lake St,R,West,Wednesday,9,11,46,9.692753623188405,9.483333333333333,9.916666666666666
2002859,693000,16th Ave,Taraval St  -  Ulloa St,L,East,Monday,13,15,25,13.327333333333334,13.25,13.45
2002860,693000,16th Ave,Taraval St  -  Ulloa St,R,West,Wednesday,13,15,20,13.210833333333332,13.066666666666666,13.466666666666667
2002861,694000,16th Ave,Ulloa St  -  Vicente St,L,East,Monday,13,15,25,13.315999999999999,13.25,13.4
2002862,694000,16th Ave,Ulloa St  -  Vicente St,R,West,Wednesday,13,15,13,13.22307692307692,13.166666666666666,13.466666666666667
